事件名称,事件别称,事件内容,事件发生时间,事件发生地点,事件类型,党史人物,组织机构,思想理念,,,,,,,,
《“健康中国2030”规划纲要》,,,2016年10月17日,,文献事件,,,,,,,,,,,
二十国集团工商峰会,,习近平出席在浙江杭州召开的二十国集团工商峰会开幕式并发表主旨演讲，提出建设创新、开放、联动、包容型世界经济，强调全球经济治理应该以平等为基础，更好反映世界经济格局新现实。,2016年9月3日,浙江杭州,会议事件,习近平,,,,,,,,,,
“构建创新、活力、联动、包容的世界经济”为主题的二十国集团领导人第十一次峰会,,,2016年9月4日-2016年9月5日,,会议事件,习近平,,,,,,,,,,
《关于加快推进“互联网+政务服务”工作的指导意见》,,,2016年9月25日,,文献事件,,,,,,,,,,,
《关于加快推进全国一体化在线政务服务平台建设的指导意见》,,,2018年7月,,文献事件,,,,,,,,,,,
《关于在线政务服务的若干规定》,,,2019年4月,,文献事件,,,,,,,,,,,
《胡锦涛文选》第一至第三卷出版,,,2016年9月,,文献事件,,,,,,,,,,,
纪念红军长征胜利80周年大会,,习近平讲话指出，每一代人有每一代人的长征路，每一代人都要走好自己的长征路。我们这一代人的长征，就是要实现“两个一百年”奋斗目标，实现中华民族伟大复兴的中国梦。要大力弘扬伟大长征精神，在新的长征路上继续奋勇前进。,2016年10月21日,,会议事件,,,,,,,,,,,
中共十八届六中全会,,中共十八届六中全会召开。全会通过《关于新形势下党内政治生活的若干准则》和《中国共产党党内监督条例》。全会明确习近平总书记党中央的核心、全党的核心地位，号召全党同志紧密团结在以习近平同志为核心的党中央周围，牢固树立政治意识、大局意识、核心意识、看齐意识，坚定不移维护党中央权威和党中央集中统一领导。,2016年10月24日－2016年10月27日,,会议事件,,,,,,,,,,,
《关于完善产权保护制度依法保护产权的意见》,,,2016年11月4日,,文献事件,,,,,,,,,,,
十二届全国人大常委会第二十四次会议,,,2016年11月7日,,会议事件,,,,,,,,,,,
《关于全面推行河长制的意见》,,,2016年11月28日,,文献事件,,,,,,,,,,,
《关于在湖泊实施湖长制的指导意见》,,,2017年12月26日,,文献事件,,,,,,,,,,,
《关于全面推行林长制的意见》,,,2020年12月28日,,文献事件,,,,,,,,,,,
《关于加强党内法规制度建设的意见》,,,2016年12月13日,,文献事件,,,,,,,,,,,
首次全国党内法规工作会议,,,2016年12月24日-2016年12月25日,,会议事件,,,,,,,,,,,
十二届全国人大常委会第二十五次会议,,,2016年12月25日,,会议事件,,,,,,,,,,,
《关于稳步推进农村集体产权制度改革的意见》,,,2016年12月26日,,文献事件,,,,,,,,,,,
达沃斯世界经济论坛2017年年会,,习近平出席达沃斯世界经济论坛2017年年会开幕式并发表主旨演讲，强调经济全球化是社会生产力发展的客观要求和科技进步的必然结果，要适应和引导好经济全球化，消解经济全球化的负面影响，让它更好惠及每个国家、每个民族，实现经济全球化进程再平衡。,2017年1月17日,,会议事件,,,,,,,,,,,
《关于实施中华优秀传统文化传承发展工程的意见》,,,2017年1月24日,,文献事件,,,,,,,,,,,
首届“一带一路”国际合作高峰论坛,,习近平出席开幕式并发表主旨演讲，强调要将“一带一路”建成和平之路、繁荣之路、开放之路、创新之路、文明之路。,2017年5月14日－2017年5月15日,北京,会议事件,,,,,,,,,,,
第二届“一带一路”国际合作高峰论坛,,习近平出席开幕式并发表主旨演讲，强调要秉持共商共建共享原则，坚持开放、绿色、廉洁理念，努力实现高标准、惠民生、可持续目标，推动共建“一带一路”沿着高质量发展方向不断前进。从2013年习近平提出“一带一路”倡议到2020年，中国同“一带一路”沿线国家货物贸易总额约9.2万亿美元，对“一带一路”沿线国家直接投资约1360亿美元，“六廊六路多国多港”的互联互通架构基本形成。,2019年4月25日-2019年4月27日,北京,会议事件,,,,,,,,,,,
《深化粤港澳合作推进大湾区建设框架协议》签署仪式,,习近平出席在香港举行的《深化粤港澳合作推进大湾区建设框架协议》签署仪式。建设粤港澳大湾区成为国家战略。,2017年7月1日,香港,文献事件,,,,,,,,,,,
《粤港澳大湾区发展规划纲要》,,,2018年7月12日,,文献事件,,,,,,,,,,,
《新一代人工智能发展规划》,,,2017年7月8日,,文献事件,,,,,,,,,,,
中国人民解放军驻吉布提保障基地成立,,,2017年7月11日,,成立事件,,,,,,,,,,,
全国金融工作会议,,会议决定设立国务院金融稳定发展委员会。会议围绕服务实体经济、防控金融风险、深化金融改革“三位一体”的金融工作主题作出部署。,2017年7月14日－2017年7月15日,,会议事件,,,,,,,,,,,
金砖国家领导人第九次会晤,,金砖国家领导人第九次会晤在福建厦门举行。习近平主持会晤并发表讲话，强调要推进经济务实合作，加强发展战略对接，推动国际秩序朝更加公正合理方向发展，促进人文民间交流，共同开启金砖合作第二个“金色十年”。,2017年9月3日－2017年9月5日,福建厦门,会议事件,,,,,,,,,,,
中国共产党第十九次全国代表大会,,大会正式代表2280人，特邀代表74人，代表全国8900多万党员。大会通过的报告《决胜全面建成小康社会，夺取新时代中国特色社会主义伟大胜利》，作出中国特色社会主义进入新时代、我国社会主要矛盾已经转化为人民日益增长的美好生活需要和不平衡不充分的发展之间的矛盾等重大政治论断，确立习近平新时代中国特色社会主义思想的历史地位，提出新时代坚持和发展中国特色社会主义的基本方略，确定决胜全面建成小康社会、开启全面建设社会主义现代化国家新征程的目标。大会通过《中国共产党章程（修正案）》，把习近平新时代中国特色社会主义思想同马克思列宁主义、毛泽东思想、邓小平理论、“三个代表”重要思想、科学发展观一道确立为党的指导思想并载入党章。,2017年10月18日－2017年10月24日,,会议事件,,,,,,,,,,,
中共十九届一中全会,,中共十九届一中全会选举习近平、李克强、栗战书、汪洋、王沪宁、赵乐际、韩正为中央政治局常委，选举习近平为中央委员会总书记，决定习近平为中央军委主席，批准赵乐际为中央纪委书记。,2017年10月25日,,会议事件,,,,,,,,,,,
《中共中央政治局关于加强和维护党中央集中统一领导的若干规定》,,中央政治局会议审议通过《中共中央政治局关于加强和维护党中央集中统一领导的若干规定》，指出，中央政治局要带头树立“四个意识”，严格遵守党章和党内政治生活准则，全面落实党的十九大关于加强和维护党中央集中统一领导的各项要求，自觉在以习近平同志为核心的党中央集中统一领导下履行职责、开展工作，坚决维护习近平总书记作为党中央的核心、全党的核心地位。根据《规定》，中央政治局全体同志每年向党中央和习近平总书记书面述职一次。这已经成为加强和维护党中央集中统一领导的重要制度安排。,2017年10月27日,,文献事件,,,,,,,,,,,
《关于废止〈中华人民共和国营业税暂行条例〉和修改〈中华人民共和国增值税暂行条例〉的决定》,,,2017年11月19日,,文献事件,,,,,,,,,,,
中国共产党与世界政党高层对话会,,12月1日，习近平在出席对话会开幕式发表主旨讲话时指出，不同国家的政党应该增进互信、加强沟通、密切协作，探索在新型国际关系的基础上建立求同存异、相互尊重、互学互鉴的新型政党关系，搭建多种形式、多种层次的国际政党交流合作网络，汇聚构建人类命运共同体的强大力量。,2017年11月30日－2017年12月3日,北京,会议事件,,,,,,,,,,,
《关于调整中国人民武装警察部队领导指挥体制的决定》,,,2017年12月14日,,文献事件,,,,,,,,,,,
2017年中央经济工作会议召开,,习近平讲话指出，推动高质量发展是当前和今后一个时期确定发展思路、制定经济政策、实施宏观调控的根本要求，必须加快形成推动高质量发展的指标体系、政策体系、标准体系、统计体系、绩效评价、政绩考核，创建和完善制度环境，推动我国经济在实现高质量发展上不断取得新进展。会议总结并阐述了习近平新时代中国特色社会主义经济思想。,2017年12月18日－2017年12月20日,,会议事件,,,,,,,,,,,
《关于建立国务院向全国人大常委会报告国有资产管理情况制度的意见》,,,2017年12月30日,,文献事件,,,,,,,,,,,
十三届全国人大常委会第六次会议,,十三届全国人大常委会第六次会议审议《国务院关于2017年度国有资产管理情况的综合报告》和《国务院关于2017年度金融企业国有资产的专项报告》。这是国务院首次按照“全口径、全覆盖”要求向全国人大常委会报告国有资产管理情况。,2018年10月,,会议事件,,,,,,,,,,,
《关于实施乡村振兴战略的意见》,,,2018年1月2日,,文献事件,,,,,,,,,,,
《乡村振兴战略规划（2018－2022年）》,,,2018年6月26日,,文献事件,,,,,,,,,,,
2018年开训动员大会,,中央军委召开2018年开训动员大会，习近平向全军发布训令。这是中央军委首次统一组织全军开训动员，是人民军队加强新时代练兵备战的一次崭新亮相。,2018年1月3日,,会议事件,,,,,,,,,,,
《关于开展扫黑除恶专项斗争的通知》,,中共中央、国务院发出《关于开展扫黑除恶专项斗争的通知》。到2020年12月底，全国打掉涉黑组织3644个、涉恶犯罪集团11675个。,2018年1月11日,,文献事件,,,,,,,,,,,
全国扫黑除恶专项斗争总结表彰大会,,,2021年3月29日,,会议事件,,,,,,,,,,,
十九届中央纪委二次全会,,习近平讲话总结和阐述党的十八大以来全面从严治党的经验：坚持思想建党和制度治党相统一，坚持使命引领和问题导向相统一，坚持抓“关键少数”和管“绝大多数”相统一，坚持行使权力和担当责任相统一，坚持严格管理和关心信任相统一，坚持党内监督和群众监督相统一。,2018年1月11日－2018年1月13日,,会议事件,,,,,,,,,,,
